Year,Age,Level,Employer,Role,Coach
1996,46,NFL,Carolina Panthers,Head Coach,Dom Capers
1997,47,NFL,Carolina Panthers,Head Coach,Dom Capers
1998,48,NFL,Carolina Panthers,Head Coach,Dom Capers
1999,49,NFL,Jacksonville Jaguars,Defensive Coordinator,Dom Capers
2000,50,NFL,Jacksonville Jaguars,Defensive Coordinator,Dom Capers
2002,52,NFL,Houston Texans,Head Coach,Dom Capers
2003,53,NFL,Houston Texans,Head Coach,Dom Capers
2004,54,NFL,Houston Texans,Head Coach,Dom Capers
2005,55,NFL,Houston Texans,Head Coach,Dom Capers
2006,56,NFL,Miami Dolphins,Defensive Coordinator,Dom Capers
2007,57,NFL,Miami Dolphins,Defensive Coordinator,Dom Capers
2009,59,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2010,60,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2011,61,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2012,62,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2013,63,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2014,64,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2015,65,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2016,66,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2017,67,NFL,Green Bay Packers,Defensive Coordinator,Dom Capers
2019,69,NFL,Jacksonville Jaguars,Senior Defensive Asst.,Dom Capers
2020,70,NFL,Minnesota Vikings,Senior Defensive Asst.,Dom Capers
2021,71,NFL,Detroit Lions,Senior Defensive Asst.,Dom Capers
1995,33,College (FBS),Vanderbilt,Special Teams/Tight Ends/Running Backs,Ken Whisenhunt
1996,34,College (FBS),Vanderbilt,Special Teams/Tight Ends/Running Backs,Ken Whisenhunt
1997,35,NFL,Baltimore Ravens,Tight Ends,Ken Whisenhunt
1998,36,NFL,Baltimore Ravens,Tight Ends,Ken Whisenhunt
1999,37,NFL,Cleveland Browns,Tight Ends,Ken Whisenhunt
2000,38,NFL,New York Jets,Special Teams,Ken Whisenhunt
2001,39,NFL,Pittsburgh Steelers,Tight Ends,Ken Whisenhunt
2002,40,NFL,Pittsburgh Steelers,Tight Ends,Ken Whisenhunt
2003,41,NFL,Pittsburgh Steelers,Tight Ends,Ken Whisenhunt
2004,42,NFL,Pittsburgh Steelers,Offensive Coordinator,Ken Whisenhunt
2005,43,NFL,Pittsburgh Steelers,Offensive Coordinator,Ken Whisenhunt
2006,44,NFL,Pittsburgh Steelers,Offensive Coordinator,Ken Whisenhunt
2007,45,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2008,46,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2009,47,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2010,48,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2011,49,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2012,50,NFL,Arizona Cardinals,Head Coach,Ken Whisenhunt
2013,51,NFL,San Diego Chargers,Offensive Coordinator,Ken Whisenhunt
2014,52,NFL,Tennessee Titans,Head Coach,Ken Whisenhunt
2015,53,NFL,Tennessee Titans,Head Coach,Ken Whisenhunt
2016,54,NFL,San Diego Chargers,Offensive Coordinator,Ken Whisenhunt
2017,55,NFL,Los Angeles Chargers,Offensive Coordinator,Ken Whisenhunt
2018,56,NFL,Los Angeles Chargers,Offensive Coordinator,Ken Whisenhunt
2019,57,NFL,Los Angeles Chargers,Offensive Coordinator,Ken Whisenhunt
1980,34,NFL,San Francisco 49ers,Tight Ends,Bruce Coslet
1981,35,NFL,Cincinnati Bengals,Wide Receivers,Bruce Coslet
1982,36,NFL,Cincinnati Bengals,Wide Receivers,Bruce Coslet
1983,37,NFL,Cincinnati Bengals,Wide Receivers,Bruce Coslet
1984,38,NFL,Cincinnati Bengals,Wide Receivers,Bruce Coslet
1985,39,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1986,40,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1987,41,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1988,42,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1989,43,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1990,44,NFL,New York Jets,Head Coach,Bruce Coslet
1991,45,NFL,New York Jets,Head Coach,Bruce Coslet
1992,46,NFL,New York Jets,Head Coach,Bruce Coslet
1993,47,NFL,New York Jets,Head Coach,Bruce Coslet
1994,48,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1995,49,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1996,50,NFL,Cincinnati Bengals,Offensive Coordinator,Bruce Coslet
1997,51,NFL,Cincinnati Bengals,Head Coach,Bruce Coslet
1998,52,NFL,Cincinnati Bengals,Head Coach,Bruce Coslet
1999,53,NFL,Cincinnati Bengals,Head Coach,Bruce Coslet
2000,54,NFL,Cincinnati Bengals,Head Coach,Bruce Coslet
2002,56,NFL,Dallas Cowboys,Offensive Coordinator,Bruce Coslet
1988,33,College,Buffalo,Linebackers,Jim Haslett
1989,34,College,Buffalo,Defensive Coordinator,Jim Haslett
1990,35,College,Buffalo,Defensive Coordinator,Jim Haslett
1991,36,WLAF,Sacramento Surge,Defensive Coordinator,Jim Haslett
1992,37,WLAF,Sacramento Surge,Defensive Coordinator,Jim Haslett
1993,38,NFL,Los Angeles Raiders,Linebackers,Jim Haslett
1994,39,NFL,Los Angeles Raiders,Linebackers,Jim Haslett
1995,40,NFL,New Orleans Saints,Linebackers,Jim Haslett
1996,41,NFL,New Orleans Saints,Defensive Coordinator,Jim Haslett
1997,42,NFL,Pittsburgh Steelers,Defensive Coordinator,Jim Haslett
1998,43,NFL,Pittsburgh Steelers,Defensive Coordinator,Jim Haslett
1999,44,NFL,Pittsburgh Steelers,Defensive Coordinator,Jim Haslett
2000,45,NFL,New Orleans Saints,Head Coach,Jim Haslett
2001,46,NFL,New Orleans Saints,Head Coach,Jim Haslett
2002,47,NFL,New Orleans Saints,Head Coach,Jim Haslett
2003,48,NFL,New Orleans Saints,Head Coach,Jim Haslett
2004,49,NFL,New Orleans Saints,Head Coach,Jim Haslett
2005,50,NFL,New Orleans Saints,Head Coach,Jim Haslett
2006,51,NFL,St. Louis Rams,Defensive Coordinator,Jim Haslett
2007,52,NFL,St. Louis Rams,Defensive Coordinator,Jim Haslett
2008,53,NFL,St. Louis Rams,Interim HC/Defensive Coordinator,Jim Haslett
2009,54,UFL,Florida Tuskers,Head Coach,Jim Haslett
2010,55,NFL,Washington Redskins,Defensive Coordinator,Jim Haslett
2011,56,NFL,Washington Redskins,Defensive Coordinator,Jim Haslett
2012,57,NFL,Washington Redskins,Defensive Coordinator,Jim Haslett
2013,58,NFL,Washington Redskins,Defensive Coordinator,Jim Haslett
2014,59,NFL,Washington Redskins,Defensive Coordinator,Jim Haslett
2015,60,College,Penn State,Consultant,Jim Haslett
2016,61,NFL,Cincinnati Bengals,Linebackers,Jim Haslett
2017,62,NFL,Cincinnati Bengals,Linebackers,Jim Haslett
2018,63,NFL,Cincinnati Bengals,Linebackers,Jim Haslett
2020,65,NFL,Tennessee Titans,Inside Linebackers,Jim Haslett
2021,66,NFL,Tennessee Titans,Inside Linebackers,Jim Haslett
1956,24,High School,Lafayette (NY),Head Coach,Sam Rutigliano
1957,25,High School,Lafayette (NY),Head Coach,Sam Rutigliano
1958,26,High School,Lafayette (NY),Head Coach,Sam Rutigliano
1959,27,High School,Greenwich (CT),Head Coach,Sam Rutigliano
1960,28,High School,Greenwich (CT),Head Coach,Sam Rutigliano
1961,29,High School,Greenwich (CT),Head Coach,Sam Rutigliano
1962,30,High School,Greeley (NY),Head Coach,Sam Rutigliano
1963,31,High School,Greeley (NY),Head Coach,Sam Rutigliano
1964,32,College,Connecticut,DB Coach,Sam Rutigliano
1965,33,College,Connecticut,DB Coach,Sam Rutigliano
1966,34,College,Maryland,WR Coach,Sam Rutigliano
1967,35,NFL,Denver Broncos,WR Coach,Sam Rutigliano
1968,36,NFL,Denver Broncos,WR Coach,Sam Rutigliano
1969,37,NFL,Denver Broncos,WR Coach,Sam Rutigliano
1970,38,NFL,Denver Broncos,WR Coach,Sam Rutigliano
1971,39,NFL,New England Patriots,WR Coach,Sam Rutigliano
1972,40,NFL,New England Patriots,WR Coach,Sam Rutigliano
1973,41,NFL,New England Patriots,WR Coach,Sam Rutigliano
1974,42,NFL,New York Jets,DB Coach,Sam Rutigliano
1975,43,NFL,New York Jets,DB Coach,Sam Rutigliano
1976,44,NFL,New Orleans Saints,WR Coach,Sam Rutigliano
1977,45,NFL,New Orleans Saints,WR Coach,Sam Rutigliano
1978,46,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1979,47,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1980,48,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1981,49,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1982,50,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1983,51,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1984,52,NFL,Cleveland Browns,Head Coach,Sam Rutigliano
1989,57,College,Liberty,Head Coach,Sam Rutigliano
1990,58,College,Liberty,Head Coach,Sam Rutigliano
1991,59,College,Liberty,Head Coach,Sam Rutigliano
1992,60,College,Liberty,Head Coach,Sam Rutigliano
1993,61,College,Liberty,Head Coach,Sam Rutigliano
1994,62,College,Liberty,Head Coach,Sam Rutigliano
1995,63,College,Liberty,Head Coach,Sam Rutigliano
1996,64,College,Liberty,Head Coach,Sam Rutigliano
1997,65,College,Liberty,Head Coach,Sam Rutigliano
1998,66,College,Liberty,Head Coach,Sam Rutigliano
1999,67,College,Liberty,Head Coach,Sam Rutigliano
2000,68,NFL Europe,Barcelona Dragons,Offensive Assistant,Sam Rutigliano
2001,69,NFL Europe,Barcelona Dragons,Offensive Assistant,Sam Rutigliano
2002,70,NFL Europe,Barcelona Dragons,Offensive Assistant,Sam Rutigliano
2003,71,NFL Europe,Barcelona Dragons,Offensive Assistant,Sam Rutigliano
2004,72,NFL Europe,Scottish Claymores,Offensive Assistant,Sam Rutigliano
2005,73,NFL Europe,Hamburg Sea Devils,Offensive Assistant,Sam Rutigliano
2006,74,NFL Europe,Hamburg Sea Devils,Offensive Assistant,Sam Rutigliano
1955,22,High School,Ishpeming HS (MI),Head Coach,Chuck Fairbanks
1956,23,High School,Ishpeming HS (MI),Head Coach,Chuck Fairbanks
1957,24,High School,Ishpeming HS (MI),Head Coach,Chuck Fairbanks
1958,25,College,Arizona State,Assistant Coach,Chuck Fairbanks
1959,26,College,Arizona State,Assistant Coach,Chuck Fairbanks
1960,27,College,Arizona State,Assistant Coach,Chuck Fairbanks
1961,28,College,Arizona State,Assistant Coach,Chuck Fairbanks
1962,29,College,Houston,Assistant Coach,Chuck Fairbanks
1963,30,College,Houston,Assistant Coach,Chuck Fairbanks
1964,31,College,Houston,Assistant Coach,Chuck Fairbanks
1965,32,College,Houston,Assistant Coach,Chuck Fairbanks
1966,33,College,Oklahoma,Assistant Coach,Chuck Fairbanks
1967,34,College,Oklahoma,Head Coach,Chuck Fairbanks
1968,35,College,Oklahoma,Head Coach,Chuck Fairbanks
1969,36,College,Oklahoma,Head Coach,Chuck Fairbanks
1970,37,College,Oklahoma,Head Coach,Chuck Fairbanks
1971,38,College,Oklahoma,Head Coach,Chuck Fairbanks
1972,39,College,Oklahoma,Head Coach,Chuck Fairbanks
1973,40,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1974,41,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1975,42,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1976,43,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1977,44,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1978,45,NFL,New England Patriots,Head Coach,Chuck Fairbanks
1979,46,College,Colorado,Head Coach,Chuck Fairbanks
1980,47,College,Colorado,Head Coach,Chuck Fairbanks
1981,48,College,Colorado,Head Coach,Chuck Fairbanks
1983,50,USFL,New Jersey Generals,Head Coach,Chuck Fairbanks
1949,28,High School,Central Catholic HS (Pittsburgh PA),Head Coach,Nick Skorich
1950,29,High School,Central Catholic HS (Pittsburgh PA),Head Coach,Nick Skorich
1951,30,High School,Central Catholic HS (Pittsburgh PA),Head Coach,Nick Skorich
1952,31,High School,Central Catholic HS (Pittsburgh PA),Head Coach,Nick Skorich
1953,32,College,Rensselaer Polytechnic Institute,Head Coach,Nick Skorich
1954,33,NFL,Pittsburgh Steelers,Line Coach,Nick Skorich
1955,34,NFL,Pittsburgh Steelers,Line Coach,Nick Skorich
1956,35,NFL,Pittsburgh Steelers,Line Coach,Nick Skorich
1957,36,NFL,Pittsburgh Steelers,Line Coach,Nick Skorich
1958,37,NFL,Green Bay Packers,Line Coach,Nick Skorich
1959,38,NFL,Philadelphia Eagles,Line Coach,Nick Skorich
1960,39,NFL,Philadelphia Eagles,Line Coach,Nick Skorich
1961,40,NFL,Philadelphia Eagles,Head Coach,Nick Skorich
1962,41,NFL,Philadelphia Eagles,Head Coach,Nick Skorich
1963,42,NFL,Philadelphia Eagles,Head Coach,Nick Skorich
1964,43,NFL,Cleveland Browns,Defensive Line,Nick Skorich
1965,44,NFL,Cleveland Browns,Defensive Line,Nick Skorich
1966,45,NFL,Cleveland Browns,Defensive Line,Nick Skorich
1967,46,NFL,Cleveland Browns,Defensive Line,Nick Skorich
1968,47,NFL,Cleveland Browns,Offensive Coordinator,Nick Skorich
1969,48,NFL,Cleveland Browns,Offensive Coordinator,Nick Skorich
1970,49,NFL,Cleveland Browns,Offensive Coordinator,Nick Skorich
1971,50,NFL,Cleveland Browns,Head Coach,Nick Skorich
1972,51,NFL,Cleveland Browns,Head Coach,Nick Skorich
1973,52,NFL,Cleveland Browns,Head Coach,Nick Skorich
1974,53,NFL,Cleveland Browns,Head Coach,Nick Skorich
1994,31,College,Western Kentucky,Assistant Coach,Jim Harbaugh
1995,32,College,Western Kentucky,Assistant Coach,Jim Harbaugh
1996,33,College,Western Kentucky,Assistant Coach,Jim Harbaugh
1997,34,College,Western Kentucky,Assistant Coach,Jim Harbaugh
1998,35,College,Western Kentucky,Assistant Coach,Jim Harbaugh
1999,36,College,Western Kentucky,Assistant Coach,Jim Harbaugh
2000,37,College,Western Kentucky,Assistant Coach,Jim Harbaugh
2001,38,College,Western Kentucky,Assistant Coach,Jim Harbaugh
2002,39,NFL,Oakland Raiders,Quarterbacks,Jim Harbaugh
2003,40,NFL,Oakland Raiders,Quarterbacks,Jim Harbaugh
2004,41,College,San Diego,Head Coach,Jim Harbaugh
2005,42,College,San Diego,Head Coach,Jim Harbaugh
2006,43,College,San Diego,Head Coach,Jim Harbaugh
2007,44,College,Stanford,Head Coach,Jim Harbaugh
2008,45,College,Stanford,Head Coach,Jim Harbaugh
2009,46,College,Stanford,Head Coach,Jim Harbaugh
2010,47,College,Stanford,Head Coach,Jim Harbaugh
2011,48,NFL,San Francisco 49ers,Head Coach,Jim Harbaugh
2012,49,NFL,San Francisco 49ers,Head Coach,Jim Harbaugh
2013,50,NFL,San Francisco 49ers,Head Coach,Jim Harbaugh
2014,51,NFL,San Francisco 49ers,Head Coach,Jim Harbaugh
2015,52,College,Michigan,Head Coach,Jim Harbaugh
2016,53,College,Michigan,Head Coach,Jim Harbaugh
2017,54,College,Michigan,Head Coach,Jim Harbaugh
2018,55,College,Michigan,Head Coach,Jim Harbaugh
1954,24,U.S. Military,Fort Belvoir (VA),Line Coach,Ray Malavasi
1955,25,U.S. Military,Fort Belvoir (VA),Line Coach,Ray Malavasi
1956,26,College,Minnesota,Assistant Coach,Ray Malavasi
1957,27,College,Minnesota,Assistant Coach,Ray Malavasi
1958,28,College,Memphis State,Assistant Coach,Ray Malavasi
1959,29,College,Memphis State,Assistant Coach,Ray Malavasi
1960,30,College,Memphis State,Assistant Coach,Ray Malavasi
1961,31,College,Wake Forest,Assistant Coach,Ray Malavasi
1963,33,NFL,Denver Broncos,Defensive Line,Ray Malavasi
1964,34,NFL,Denver Broncos,Defensive Line,Ray Malavasi
1965,35,NFL,Denver Broncos,Defensive Line,Ray Malavasi
1966,36,NFL,Denver Broncos,Head Coach,Ray Malavasi
1967,37,CFL,Hamilton Tiger Cats,Defensive Assistant,Ray Malavasi
1968,38,CFL,Hamilton Tiger Cats,Defensive Assistant,Ray Malavasi
1969,39,NFL,Buffalo Bills,Defensive Line,Ray Malavasi
1970,40,NFL,Buffalo Bills,Defensive Line,Ray Malavasi
1971,41,NFL,Oakland Raiders,Linebackers,Ray Malavasi
1972,42,NFL,Oakland Raiders,Linebackers,Ray Malavasi
1973,43,NFL,Los Angeles Rams,Defensive Coordinator,Ray Malavasi
1974,44,NFL,Los Angeles Rams,Defensive Coordinator,Ray Malavasi
1975,45,NFL,Los Angeles Rams,Defensive Coordinator,Ray Malavasi
1976,46,NFL,Los Angeles Rams,Defensive Coordinator,Ray Malavasi
1977,47,NFL,Los Angeles Rams,Defensive Coordinator,Ray Malavasi
1978,48,NFL,Los Angeles Rams,Head Coach,Ray Malavasi
1979,49,NFL,Los Angeles Rams,Head Coach,Ray Malavasi
1980,50,NFL,Los Angeles Rams,Head Coach,Ray Malavasi
1981,51,NFL,Los Angeles Rams,Head Coach,Ray Malavasi
1982,52,NFL,Los Angeles Rams,Head Coach,Ray Malavasi
1984,54,USFL,Los Angeles Express,Defensive Coordinator,Ray Malavasi
1950,27,College,Oregon,Assistant Coach,John McKay
1951,28,College,Oregon,Assistant Coach,John McKay
1952,29,College,Oregon,Assistant Coach,John McKay
1953,30,College,Oregon,Assistant Coach,John McKay
1954,31,College,Oregon,Assistant Coach,John McKay
1955,32,College,Oregon,Assistant Coach,John McKay
1956,33,College,Oregon,Assistant Coach,John McKay
1957,34,College,Oregon,Assistant Coach,John McKay
1958,35,College,Oregon,Assistant Coach,John McKay
1959,36,College,Southern California,Assistant Coach,John McKay
1960,37,College,Southern California,Head Coach,John McKay
1961,38,College,Southern California,Head Coach,John McKay
1962,39,College,Southern California,Head Coach,John McKay
1963,40,College,Southern California,Head Coach,John McKay
1964,41,College,Southern California,Head Coach,John McKay
1965,42,College,Southern California,Head Coach,John McKay
1966,43,College,Southern California,Head Coach,John McKay
1967,44,College,Southern California,Head Coach,John McKay
1968,45,College,Southern California,Head Coach,John McKay
1969,46,College,Southern California,Head Coach,John McKay
1970,47,College,Southern California,Head Coach,John McKay
1971,48,College,Southern California,Head Coach,John McKay
1972,49,College,Southern California,Head Coach,John McKay
1973,50,College,Southern California,Head Coach,John McKay
1974,51,College,Southern California,Head Coach,John McKay
1975,52,College,Southern California,Head Coach,John McKay
1976,53,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1977,54,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1978,55,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1979,56,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1980,57,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1981,58,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1982,59,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1983,60,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1984,61,NFL,Tampa Bay Buccaneers,Head Coach,John McKay
1950,26,College,Case Tech,Assistant,Charley Winner
1951,27,College,Case Tech,Assistant,Charley Winner
1952,28,College,Case Tech,Assistant,Charley Winner
1953,29,College,Case Tech,Assistant,Charley Winner
1954,30,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1955,31,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1956,32,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1957,33,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1958,34,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1959,35,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1960,36,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1961,37,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1962,38,NFL,Baltimore Colts,Defensive Backs,Charley Winner
1963,39,NFL,Baltimore Colts,Defensive Coordinator,Charley Winner
1964,40,NFL,Baltimore Colts,Defensive Coordinator,Charley Winner
1965,41,NFL,Baltimore Colts,Defensive Coordinator,Charley Winner
1966,42,NFL,St. Louis Cardinals,Head Coach,Charley Winner
1967,43,NFL,St. Louis Cardinals,Head Coach,Charley Winner
1968,44,NFL,St. Louis Cardinals,Head Coach,Charley Winner
1969,45,NFL,St. Louis Cardinals,Head Coach,Charley Winner
1970,46,NFL,St. Louis Cardinals,Head Coach,Charley Winner
1971,47,NFL,Washington Redskins,Defensive Coach,Charley Winner
1972,48,NFL,Washington Redskins,Defensive Coach,Charley Winner
1973,49,NFL,New York Jets,Defensive Coordinator,Charley Winner
1974,50,NFL,New York Jets,Head Coach,Charley Winner
1975,51,NFL,New York Jets,Head Coach,Charley Winner
1976,52,NFL,Cincinnati Bengals,Defensive Backs,Charley Winner
1977,53,NFL,Cincinnati Bengals,Defensive Backs,Charley Winner
1978,54,NFL,Cincinnati Bengals,Defensive Backs,Charley Winner
1979,55,NFL,Cincinnati Bengals,Defensive Backs,Charley Winner
1994,24,College (FCS),William & Mary,Defensive Line,Dan Quinn
1995,25,College (FCS),Va. Military Institute,Defensive Line,Dan Quinn
1996,26,College (FCS),Hofstra,Defensive Line,Dan Quinn
1997,27,College (FCS),Hofstra,Defensive Line,Dan Quinn
1998,28,College (FCS),Hofstra,Defensive Line,Dan Quinn
1999,29,College (FCS),Hofstra,Defensive Line,Dan Quinn
2000,30,College (FCS),Hofstra,Defensive Coordinator/D-Line,Dan Quinn
2001,31,NFL,San Francisco 49ers,Defensive Quality Control,Dan Quinn
2002,32,NFL,San Francisco 49ers,Defensive Quality Control,Dan Quinn
2003,33,NFL,San Francisco 49ers,Defensive Line,Dan Quinn
2004,34,NFL,San Francisco 49ers,Defensive Line,Dan Quinn
2005,35,NFL,Miami Dolphins,Defensive Line,Dan Quinn
2006,36,NFL,Miami Dolphins,Defensive Line,Dan Quinn
2007,37,NFL,New York Jets,Defensive Line,Dan Quinn
2008,38,NFL,New York Jets,Defensive Line,Dan Quinn
2009,39,NFL,Seattle Seahawks,Defensive Line,Dan Quinn
2010,40,NFL,Seattle Seahawks,Defensive Line,Dan Quinn
2011,41,College (FBS),Florida,Defensive Coordinator/D-Line,Dan Quinn
2012,42,College (FBS),Florida,Defensive Coordinator/D-Line,Dan Quinn
2013,43,NFL,Seattle Seahawks,Defensive Coordinator,Dan Quinn
2014,44,NFL,Seattle Seahawks,Defensive Coordinator,Dan Quinn
2015,45,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2016,46,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2017,47,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2018,48,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2019,49,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2020,50,NFL,Atlanta Falcons,Head Coach,Dan Quinn
2021,51,NFL,Dallas Cowboys,Defensive Coordinator,Dan Quinn
2022,52,NFL,Dallas Cowboys,Defensive Coordinator,Dan Quinn
1966,34,NFL,Detroit Lions,Linebackers,Joe Schmidt
1967,35,NFL,Detroit Lions,Head Coach,Joe Schmidt
1968,36,NFL,Detroit Lions,Head Coach,Joe Schmidt
1969,37,NFL,Detroit Lions,Head Coach,Joe Schmidt
1970,38,NFL,Detroit Lions,Head Coach,Joe Schmidt
1971,39,NFL,Detroit Lions,Head Coach,Joe Schmidt
1972,40,NFL,Detroit Lions,Head Coach,Joe Schmidt
2005,37,High School,Calvary Baptist (WV),Head Coach,Doug Pederson
2006,38,High School,Calvary Baptist (WV),Head Coach,Doug Pederson
2007,39,High School,Calvary Baptist (WV),Head Coach,Doug Pederson
2008,40,High School,Calvary Baptist (WV),Head Coach,Doug Pederson
2009,41,NFL,Philadelphia Eagles,Offensive Quality Control,Doug Pederson
2010,42,NFL,Philadelphia Eagles,Offensive Quality Control,Doug Pederson
2011,43,NFL,Philadelphia Eagles,Quarterbacks,Doug Pederson
2012,44,NFL,Philadelphia Eagles,Quarterbacks,Doug Pederson
2013,45,NFL,Kansas City Chiefs,Offensive Coordinator,Doug Pederson
2014,46,NFL,Kansas City Chiefs,Offensive Coordinator,Doug Pederson
2015,47,NFL,Kansas City Chiefs,Offensive Coordinator,Doug Pederson
2016,48,NFL,Philadelphia Eagles,Head Coach,Doug Pederson
2017,49,NFL,Philadelphia Eagles,Head Coach,Doug Pederson
2018,50,NFL,Philadelphia Eagles,Head Coach,Doug Pederson
2019,51,NFL,Philadelphia Eagles,Head Coach,Doug Pederson
2020,52,NFL,Philadelphia Eagles,Head Coach,Doug Pederson
2022,54,NFL,Jacksonville Jaguars,Head Coach,Doug Pederson
1973,32,College,Mississippi State,Assistant,Ray Perkins
1974,33,NFL,New England Patriots,Wide Receivers,Ray Perkins
1975,34,NFL,New England Patriots,Wide Receivers,Ray Perkins
1976,35,NFL,New England Patriots,Wide Receivers,Ray Perkins
1977,36,NFL,New England Patriots,Wide Receivers,Ray Perkins
1978,37,NFL,San Diego Chargers,Offensive Coordinator,Ray Perkins
1979,38,NFL,New York Giants,Head Coach,Ray Perkins
1980,39,NFL,New York Giants,Head Coach,Ray Perkins
1981,40,NFL,New York Giants,Head Coach,Ray Perkins
1982,41,NFL,New York Giants,Head Coach,Ray Perkins
1983,42,College,Alabama,Head Coach,Ray Perkins
1984,43,College,Alabama,Head Coach,Ray Perkins
1985,44,College,Alabama,Head Coach,Ray Perkins
1986,45,College,Alabama,Head Coach,Ray Perkins
1987,46,NFL,Tampa Bay Buccaneers,Head Coach,Ray Perkins
1988,47,NFL,Tampa Bay Buccaneers,Head Coach,Ray Perkins
1989,48,NFL,Tampa Bay Buccaneers,Head Coach,Ray Perkins
1990,49,NFL,Tampa Bay Buccaneers,Head Coach,Ray Perkins
1992,51,College,Arkansas State,Head Coach,Ray Perkins
1993,52,NFL,New England Patriots,Offensive Coordinator,Ray Perkins
1994,53,NFL,New England Patriots,Offensive Coordinator,Ray Perkins
1995,54,NFL,New England Patriots,Offensive Coordinator,Ray Perkins
1996,55,NFL,New England Patriots,Offensive Coordinator,Ray Perkins
1997,56,NFL,Oakland Raiders,Offensive Coordinator,Ray Perkins
1999,58,NFL,Cleveland Browns,Tight Ends,Ray Perkins
2000,59,NFL,Cleveland Browns,Running Backs,Ray Perkins
2012,71,College,Jones County JC,Head Coach,Ray Perkins
2013,72,College,Jones County JC,Head Coach,Ray Perkins
2014,73,High School,Oak Grove HS,Head Coach,Ray Perkins
2015,74,High School,Oak Grove HS,Head Coach,Ray Perkins
2016,75,High School,Oak Grove HS,Head Coach,Ray Perkins
2017,76,High School,Oak Grove HS,Head Coach,Ray Perkins
1969,22,College,Montana State,Graduate Assistant,Dennis Erickson
1971,24,College,Montana State,Running Backs,Dennis Erickson
1972,25,College,Montana State,Running Backs,Dennis Erickson
1973,26,College,Montana State,Running Backs,Dennis Erickson
1974,27,College,Idaho,Offensive Coordinator,Dennis Erickson
1975,28,College,Idaho,Offensive Coordinator,Dennis Erickson
1976,29,College,Fresno State,Offensive Coordinator,Dennis Erickson
1977,30,College,Fresno State,Offensive Coordinator,Dennis Erickson
1978,31,College,Fresno State,Offensive Coordinator,Dennis Erickson
1979,32,College,San Jose State,Offensive Coordinator,Dennis Erickson
1980,33,College,San Jose State,Offensive Coordinator,Dennis Erickson
1981,34,College,San Jose State,Offensive Coordinator,Dennis Erickson
1982,35,College,Idaho,Head Coach,Dennis Erickson
1983,36,College,Idaho,Head Coach,Dennis Erickson
1984,37,College,Idaho,Head Coach,Dennis Erickson
